Paper_Name,Year,Citation_Number,Type
Persistence-Based Structural Recognition,2014,139,Poster
Inferring Unseen Views of People,2014,27,Poster
Birdsnap: Large-Scale Fine-Grained Visual Categorization of Birds,2014,347,Poster
Predicting Object Dynamics in Scenes,2014,95,Poster
Enriching Visual Knowledge Bases via Object Discovery and Segmentation,2014,144,Poster
Seeing the Arrow of Time,2014,96,Poster
Hierarchical Feature Hashing for Fast Dimensionality Reduction,2014,9,Poster
Modeling Image Patches with a Generic Dictionary of Mini-epitomes,2014,15,Poster
Simplex-Based 3D Spatio-temporal Feature Description for Action Recognition,2014,48,Poster
In Search of Inliers: 3D Correspondence by Local and Global Voting,2014,58,Poster
Collective Matrix Factorization Hashing for Multimodal Data,2014,591,Poster
Finding Matches in a Haystack: A Max-Pooling Strategy for Graph Matching in the Presence of Outliers,2014,139,Poster
Locality in Generic Instance Search from One Example,2014,80,Poster
Congruency-Based Reranking,2014,5,Poster
Asymmetric Sparse Kernel Approximations for Large-Scale Visual Search,2014,4,Poster
Locally Linear Hashing for Extracting Non-linear Manifolds,2014,111,Poster
"Active Frame, Location, and Detector Selection for Automated and Manual Video Annotation",2014,27,Poster
Distance Encoded Product Quantization,2014,61,Poster
Collaborative Hashing,2014,136,Poster
Scalable Object Detection Using Deep Neural Networks,2014,1461,Poster
Multiview Shape and Reflectance from Natural Illumination,2014,66,Oral
Reflectance and Fluorescent Spectra Recovery Based on Fluorescent Chromaticity Invariance under Varying Illumination,2014,15,Oral
What Camera Motion Reveals about Shape with Unknown BRDF,2014,32,Oral
Photometric Stereo Using Constrained Bivariate Regression for General Isotropic Surfaces,2014,107,Oral
Robust Separation of Reflection from Multiple Images,2014,201,Oral
Surface-from-Gradients: An Approach Based on Discrete Geometry Processing,2014,45,Oral
Socially-Aware Large-Scale Crowd Forecasting,2014,229,Oral
L0 Regularized Stationary Time Estimation for Crowd Group Analysis,2014,47,Oral
Scene-Independent Group Profiling in Crowd,2014,300,Oral
Temporal Sequence Modeling for Video Event Detection,2014,92,Oral
Recognition of Complex Events: Exploiting Temporal Dynamics between Underlying Concepts,2014,86,Oral
Video Event Detection by Inferring Temporal Instance Labels,2014,150,Oral
Backscatter Compensated Photometric Stereo with 3 Sources,2014,70,Poster
Calibrating a Non-isotropic Near Point Light Source Using a Plane,2014,47,Poster
A New Perspective on Material Classification and Ink Identification,2014,13,Poster
High Quality Photometric Reconstruction Using a Depth Camera,2014,60,Poster
Robust Surface Reconstruction via Triple Sparsity,2014,22,Poster
Scattering Parameters and Surface Normals from Homogeneous Translucent Materials Using Photometric Stereo,2014,26,Poster
Better Shading for Better Shape Recovery,2014,3,Poster
Stable and Informative Spectral Signatures for Graph Matching,2014,41,Poster
Deformable Object Matching via Deformation Decomposition Based 2D Label MRF,2014,12,Poster
Locally Optimized Product Quantization for Approximate Nearest Neighbor Search,2014,294,Poster
Multi-source Deep Learning for Human Pose Estimation,2014,329,Poster
Posebits for Monocular Human Pose Estimation,2014,79,Poster
Real-Time Simultaneous Pose and Shape Estimation for Articulated Objects Using a Single Depth Camera,2014,204,Poster
Mixing Body-Part Sequences for Human Pose Estimation,2014,131,Poster
Robust Estimation of 3D Human Poses from a Single Image,2014,232,Poster
Fisher and VLAD with FLAIR,2014,74,Poster
"Immediate, Scalable Object Category Detection",2014,9,Poster
Word Channel Based Multiscale Pedestrian Detection without Image Resizing and Using Only One Classifier,2014,71,Poster
Parsing Occluded People,2014,64,Poster
Multi-fold MIL Training for Weakly Supervised Object Localization,2014,269,Poster
Generating Object Segmentation Proposals Using Global and Local Search,2014,198,Poster
A Novel Chamfer Template Matching Method Using Variational Mean Field,2014,25,Poster
Confidence-Rated Multiple Instance Boosting for Object Detection,2014,36,Poster
COSTA: Co-Occurrence Statistics for Zero-Shot Classification,2014,279,Poster
Analysis by Synthesis: 3D Object Recognition by Object Reconstruction,2014,67,Poster
Submodular Object Recognition,2014,32,Poster
Multimodal Learning in Loosely-Organized Web Images,2014,14,Poster
Generalized Max Pooling,2014,267,Poster
Domain Adaptation on the Statistical Manifold,2014,131,Poster
Nonparametric Part Transfer for Fine-Grained Recognition,2014,131,Poster
The Fastest Deformable Part Model for Object Detection,2014,364,Poster
Unsupervised Learning of Dictionaries of Hierarchical Compositional Models,2014,28,Poster
Quasi Real-Time Summarization for Consumer Videos,2014,263,Poster
Gait Recognition under Speed Transition,2014,54,Poster
